book1,book2,wasserstein_distance
0310Tabari.Tarikh,0845Maqrizi.IghathaUmma,0.0035416666666666682
0845Maqrizi.IghathaUmma,0845Maqrizi.Mawaciz,0.0033973799126637565
0310Tabari.Tarikh,0421Miskawayh.HikmaKhalida,0.0033939393939393945
0421Miskawayh.Tajarib,0845Maqrizi.IghathaUmma,0.0033426183844011154
0630IbnAthirCizzDin.Kamil,0845Maqrizi.IghathaUmma,0.0033366500829187414
0845Maqrizi.IghathaUmma,0845Maqrizi.Suluk,0.0032743362831858416
0310Tabari.JamicBayan,0845Maqrizi.IghathaUmma,0.0032375886524822705
0421Miskawayh.HikmaKhalida,0845Maqrizi.Mawaciz,0.0032139737991266387
0421Miskawayh.HikmaKhalida,0630IbnAthirCizzDin.Kamil,0.0031376451077943625
0421Miskawayh.HikmaKhalida,0421Miskawayh.Tajarib,0.0031309192200557117
0421Miskawayh.HikmaKhalida,0845Maqrizi.Suluk,0.003061946902654868
0310Tabari.JamicBayan,0421Miskawayh.HikmaKhalida,0.003056737588652483
0845Maqrizi.IghathaUmma,0845Maqrizi.ItticazHunafa,0.0029397590361445796
0421Miskawayh.HikmaKhalida,0845Maqrizi.ItticazHunafa,0.0026987951807228927
0310Tabari.Tarikh,0845Maqrizi.ItticazHunafa,0.002234848484848485
0845Maqrizi.Mawaciz,0845Maqrizi.ItticazHunafa,0.0019344978165938868
0630IbnAthirCizzDin.Kamil,0845Maqrizi.ItticazHunafa,0.0018043117744610281
0310Tabari.JamicBayan,0845Maqrizi.ItticazHunafa,0.0017135777151157825
0421Miskawayh.Tajarib,0845Maqrizi.ItticazHunafa,0.0016824512534818947
0845Maqrizi.Suluk,0845Maqrizi.ItticazHunafa,0.001657746028361233
0310Tabari.Tarikh,0845Maqrizi.Suluk,0.0011358272995441137
0421Miskawayh.HikmaKhalida,0845Maqrizi.IghathaUmma,0.0011111111111111122
0845Maqrizi.Suluk,0845Maqrizi.Mawaciz,0.000865749507284461
0310Tabari.JamicBayan,0845Maqrizi.Suluk,0.0008601644385865813
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Suluk,0.00084418614890151
0310Tabari.Tarikh,0421Miskawayh.Tajarib,0.000801131088039166
0421Miskawayh.Tajarib,0845Maqrizi.Suluk,0.0007542090862030716
0310Tabari.Tarikh,0310Tabari.JamicBayan,0.0006245970341715024
0310Tabari.JamicBayan,0421Miskawayh.Tajarib,0.0006086746083486438
0630IbnAthirCizzDin.Kamil,0421Miskawayh.Tajarib,0.0006076026552474396
0310Tabari.Tarikh,0630IbnAthirCizzDin.Kamil,0.0005835406301824212
0421Miskawayh.Tajarib,0845Maqrizi.Mawaciz,0.0005663840605271801
0310Tabari.Tarikh,0845Maqrizi.Mawaciz,0.000489694984782321
0310Tabari.JamicBayan,0630IbnAthirCizzDin.Kamil,0.00042801947708267184
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Mawaciz,0.000370520034471022
0310Tabari.JamicBayan,0845Maqrizi.Mawaciz,0.00031773978754374565
