book1,book2,wasserstein_distance
0630IbnAthirCizzDin.Kamil,0845Maqrizi.IghathaUmma,0.0038202247191011255
0310Tabari.JamicBayan,0845Maqrizi.IghathaUmma,0.0037955665024630558
0421Miskawayh.Tajarib,0845Maqrizi.IghathaUmma,0.0037880184331797254
0845Maqrizi.IghathaUmma,0845Maqrizi.Mawaciz,0.003746835443037976
0310Tabari.Tarikh,0845Maqrizi.IghathaUmma,0.0037454545454545475
0845Maqrizi.IghathaUmma,0845Maqrizi.ItticazHunafa,0.0037029702970297045
0421Miskawayh.HikmaKhalida,0845Maqrizi.IghathaUmma,0.003166666666666669
0421Miskawayh.HikmaKhalida,0630IbnAthirCizzDin.Kamil,0.0029348314606741583
0845Maqrizi.IghathaUmma,0845Maqrizi.Suluk,0.002871794871794873
0421Miskawayh.HikmaKhalida,0421Miskawayh.Tajarib,0.002857142857142858
0310Tabari.Tarikh,0421Miskawayh.HikmaKhalida,0.002821212121212122
0310Tabari.JamicBayan,0421Miskawayh.HikmaKhalida,0.0027857142857142863
0421Miskawayh.HikmaKhalida,0845Maqrizi.Mawaciz,0.00259240506329114
0421Miskawayh.HikmaKhalida,0845Maqrizi.ItticazHunafa,0.002455445544554456
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Suluk,0.0023146067415730346
0310Tabari.Tarikh,0845Maqrizi.Suluk,0.0023121212121212124
0421Miskawayh.Tajarib,0845Maqrizi.Suluk,0.002244239631336406
0310Tabari.JamicBayan,0845Maqrizi.Suluk,0.0021264999368447654
0845Maqrizi.Suluk,0845Maqrizi.Mawaciz,0.001934177215189874
0845Maqrizi.Suluk,0845Maqrizi.ItticazHunafa,0.0017750698146737757
0421Miskawayh.HikmaKhalida,0845Maqrizi.Suluk,0.0012948717948717946
0310Tabari.Tarikh,0845Maqrizi.ItticazHunafa,0.000941059105910591
0630IbnAthirCizzDin.Kamil,0845Maqrizi.ItticazHunafa,0.0008862832350650795
0310Tabari.JamicBayan,0845Maqrizi.ItticazHunafa,0.0008840657464761253
0421Miskawayh.Tajarib,0845Maqrizi.ItticazHunafa,0.000769128986631382
0845Maqrizi.Mawaciz,0845Maqrizi.ItticazHunafa,0.0006749718009775659
0310Tabari.Tarikh,0845Maqrizi.Mawaciz,0.0006379555044112007
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Mawaciz,0.00059058455411748
0310Tabari.JamicBayan,0845Maqrizi.Mawaciz,0.000539889006672071
0421Miskawayh.Tajarib,0845Maqrizi.Mawaciz,0.0005283322638978008
0310Tabari.JamicBayan,0421Miskawayh.Tajarib,0.0003990942316860004
0310Tabari.JamicBayan,0630IbnAthirCizzDin.Kamil,0.0003893673548458517
0310Tabari.Tarikh,0630IbnAthirCizzDin.Kamil,0.0003758597208035411
0310Tabari.Tarikh,0310Tabari.JamicBayan,0.0003691819674578295
0310Tabari.Tarikh,0421Miskawayh.Tajarib,0.000367741935483871
0630IbnAthirCizzDin.Kamil,0421Miskawayh.Tajarib,0.00016883964169212446
