book1,book2,wasserstein_distance
0421Miskawayh.HikmaKhalida,0845Maqrizi.Suluk,0.015000000000000005
0421Miskawayh.HikmaKhalida,0845Maqrizi.Mawaciz,0.014062500000000004
0421Miskawayh.HikmaKhalida,0630IbnAthirCizzDin.Kamil,0.012592592592592594
0421Miskawayh.HikmaKhalida,0845Maqrizi.IghathaUmma,0.012584269662921352
0310Tabari.Tarikh,0845Maqrizi.Suluk,0.011219512195121954
0310Tabari.Tarikh,0845Maqrizi.Mawaciz,0.010208333333333335
0421Miskawayh.Tajarib,0845Maqrizi.Suluk,0.010000000000000002
0310Tabari.Tarikh,0630IbnAthirCizzDin.Kamil,0.009074074074074078
0310Tabari.JamicBayan,0421Miskawayh.HikmaKhalida,0.009019607843137253
0421Miskawayh.Tajarib,0845Maqrizi.Mawaciz,0.008958333333333334
0630IbnAthirCizzDin.Kamil,0421Miskawayh.Tajarib,0.007962962962962965
0310Tabari.Tarikh,0845Maqrizi.IghathaUmma,0.007677902621722849
0310Tabari.JamicBayan,0845Maqrizi.Suluk,0.007577714012434242
0421Miskawayh.HikmaKhalida,0421Miskawayh.Tajarib,0.007513227513227515
0310Tabari.Tarikh,0421Miskawayh.HikmaKhalida,0.006785714285714286
0421Miskawayh.Tajarib,0845Maqrizi.IghathaUmma,0.006699958385351645
0310Tabari.JamicBayan,0845Maqrizi.Mawaciz,0.006439950980392157
0310Tabari.Tarikh,0310Tabari.JamicBayan,0.005294117647058824
0310Tabari.JamicBayan,0630IbnAthirCizzDin.Kamil,0.004999999999999999
0310Tabari.JamicBayan,0421Miskawayh.Tajarib,0.004705882352941176
0310Tabari.JamicBayan,0845Maqrizi.IghathaUmma,0.004622163472130426
0845Maqrizi.IghathaUmma,0845Maqrizi.Suluk,0.004343655796108523
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Suluk,0.0036585365853658547
0845Maqrizi.IghathaUmma,0845Maqrizi.Mawaciz,0.00334503745318352
0630IbnAthirCizzDin.Kamil,0845Maqrizi.IghathaUmma,0.003295880149812734
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Mawaciz,0.0027314814814814814
0310Tabari.Tarikh,0421Miskawayh.Tajarib,0.0025925925925925943
0845Maqrizi.Suluk,0845Maqrizi.Mawaciz,0.00176829268292683
