book1,book2,wasserstein_distance
0845Maqrizi.IghathaUmma,0845Maqrizi.Mawaciz,0.003165417867435158
0630IbnAthirCizzDin.Kamil,0845Maqrizi.IghathaUmma,0.003161890855995619
0310Tabari.JamicBayan,0845Maqrizi.IghathaUmma,0.0029906629318394015
0421Miskawayh.Tajarib,0845Maqrizi.IghathaUmma,0.0029678362573099405
0310Tabari.Tarikh,0845Maqrizi.IghathaUmma,0.002865704772475027
0845Maqrizi.IghathaUmma,0845Maqrizi.Suluk,0.0027822182308037714
0421Miskawayh.HikmaKhalida,0845Maqrizi.IghathaUmma,0.002216560509554139
0421Miskawayh.HikmaKhalida,0630IbnAthirCizzDin.Kamil,0.0019003467786092357
0421Miskawayh.HikmaKhalida,0845Maqrizi.Mawaciz,0.0018674351585014415
0310Tabari.JamicBayan,0421Miskawayh.HikmaKhalida,0.0017404295051353879
0310Tabari.Tarikh,0421Miskawayh.HikmaKhalida,0.0015715871254162047
0421Miskawayh.HikmaKhalida,0421Miskawayh.Tajarib,0.0015555555555555561
0421Miskawayh.HikmaKhalida,0845Maqrizi.Suluk,0.0013787706748961076
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Suluk,0.000540571408995755
0845Maqrizi.Suluk,0845Maqrizi.Mawaciz,0.0005354748961203156
0630IbnAthirCizzDin.Kamil,0421Miskawayh.Tajarib,0.0003991017270620732
0310Tabari.Tarikh,0845Maqrizi.Mawaciz,0.0003979561614216673
0310Tabari.JamicBayan,0845Maqrizi.Suluk,0.0003772959565505591
0421Miskawayh.Tajarib,0845Maqrizi.Suluk,0.0003679378809244336
0310Tabari.Tarikh,0630IbnAthirCizzDin.Kamil,0.00035623900681018176
0421Miskawayh.Tajarib,0845Maqrizi.Mawaciz,0.0003536528641488447
0310Tabari.JamicBayan,0421Miskawayh.Tajarib,0.00032276770357265707
0310Tabari.Tarikh,0421Miskawayh.Tajarib,0.00031834024573086433
0310Tabari.JamicBayan,0845Maqrizi.Mawaciz,0.00027325643033390115
0310Tabari.Tarikh,0845Maqrizi.Suluk,0.0002476383323025307
0310Tabari.JamicBayan,0630IbnAthirCizzDin.Kamil,0.0001974202834385565
0310Tabari.Tarikh,0310Tabari.JamicBayan,0.00019343586491200253
0630IbnAthirCizzDin.Kamil,0845Maqrizi.Mawaciz,0.00017439224326785055
